年份,十年代,尺度,區域,半球,緯度,距平C
1967,1960,寬帶,北緯24-90,北,999,0.12
1967,1960,寬帶,南北緯24以內,赤道,999,-0.14
1967,1960,寬帶,南緯24-90,南,999,-0.01
1967,1960,緯度帶,北極區64-90N,北,77,0.36
1967,1960,緯度帶,北高緯44-64N,北,54,0.26
1967,1960,緯度帶,北中緯24-44N,北,34,-0.05
1967,1960,緯度帶,赤道-24N,北,12,-0.11
1967,1960,緯度帶,24S-赤道,南,-12,-0.17
1967,1960,緯度帶,南中緯24-44S,南,-34,-0.09
1967,1960,緯度帶,南高緯44-64S,南,-54,-0.02
1967,1960,緯度帶,南極區64-90S,南,-77,0.31
1968,1960,全球,全球,全球,999,-0.08
1968,1960,半球,北半球,北,999,-0.07
1968,1960,半球,南半球,南,999,-0.09
1968,1960,寬帶,北緯24-90,北,999,-0.11
1968,1960,寬帶,南北緯24以內,赤道,999,-0.06
1968,1960,寬帶,南緯24-90,南,999,-0.08
1968,1960,緯度帶,北極區64-90N,北,77,-0.33
1968,1960,緯度帶,北高緯44-64N,北,54,-0.02
1968,1960,緯度帶,北中緯24-44N,北,34,-0.09
1968,1960,緯度帶,赤道-24N,北,12,-0.02
1968,1960,緯度帶,24S-赤道,南,-12,-0.11
1968,1960,緯度帶,南中緯24-44S,南,-34,-0.14
1968,1960,緯度帶,南高緯44-64S,南,-54,0.00
1968,1960,緯度帶,南極區64-90S,南,-77,-0.07
1969,1960,全球,全球,全球,999,0.05
1969,1960,半球,北半球,北,999,-0.03
1969,1960,半球,南半球,南,999,0.14
1969,1960,寬帶,北緯24-90,北,999,-0.29
1969,1960,寬帶,南北緯24以內,赤道,999,0.33
1969,1960,寬帶,南緯24-90,南,999,0.02
1969,1960,緯度帶,北極區64-90N,北,77,-0.03
1969,1960,緯度帶,北高緯44-64N,北,54,-0.61
1969,1960,緯度帶,北中緯24-44N,北,34,-0.17
1969,1960,緯度帶,赤道-24N,北,12,0.35
1969,1960,緯度帶,24S-赤道,南,-12,0.32
1969,1960,緯度帶,南中緯24-44S,南,-34,0.00
1969,1960,緯度帶,南高緯44-64S,南,-54,0.13
1969,1960,緯度帶,南極區64-90S,南,-77,-0.16
1970,1970,全球,全球,全球,999,0.03
1970,1970,半球,北半球,北,999,-0.04
1970,1970,半球,南半球,南,999,0.09
1970,1970,寬帶,北緯24-90,北,999,-0.11
1970,1970,寬帶,南北緯24以內,赤道,999,0.07
1970,1970,寬帶,南緯24-90,南,999,0.12
1970,1970,緯度帶,北極區64-90N,北,77,-0.20
1970,1970,緯度帶,北高緯44-64N,北,54,-0.13
1970,1970,緯度帶,北中緯24-44N,北,34,-0.07
1970,1970,緯度帶,赤道-24N,北,12,0.07
1970,1970,緯度帶,24S-赤道,南,-12,0.07
1970,1970,緯度帶,南中緯24-44S,南,-34,0.11
1970,1970,緯度帶,南高緯44-64S,南,-54,0.03
1970,1970,緯度帶,南極區64-90S,南,-77,0.35
1971,1970,全球,全球,全球,999,-0.08
1971,1970,半球,北半球,北,999,-0.15
1971,1970,半球,南半球,南,999,-0.01
1971,1970,寬帶,北緯24-90,北,999,-0.06
1971,1970,寬帶,南北緯24以內,赤道,999,-0.26
1971,1970,寬帶,南緯24-90,南,999,0.13
1971,1970,緯度帶,北極區64-90N,北,77,-0.08
1971,1970,緯度帶,北高緯44-64N,北,54,0.01
1971,1970,緯度帶,北中緯24-44N,北,34,-0.10
1971,1970,緯度帶,赤道-24N,北,12,-0.30
1971,1970,緯度帶,24S-赤道,南,-12,-0.22
1971,1970,緯度帶,南中緯24-44S,南,-34,0.03
1971,1970,緯度帶,南高緯44-64S,南,-54,0.16
1971,1970,緯度帶,南極區64-90S,南,-77,0.48
1972,1970,全球,全球,全球,999,0.01
1972,1970,半球,北半球,北,999,-0.18
1972,1970,半球,南半球,南,999,0.20
1972,1970,寬帶,北緯24-90,北,999,-0.34
1972,1970,寬帶,南北緯24以內,赤道,999,0.17
1972,1970,寬帶,南緯24-90,南,999,0.15
1972,1970,緯度帶,北極區64-90N,北,77,-0.37
1972,1970,緯度帶,北高緯44-64N,北,54,-0.47
1972,1970,緯度帶,北中緯24-44N,北,34,-0.24
1972,1970,緯度帶,赤道-24N,北,12,0.06
1972,1970,緯度帶,24S-赤道,南,-12,0.27
1972,1970,緯度帶,南中緯24-44S,南,-34,0.16
1972,1970,緯度帶,南高緯44-64S,南,-54,-0.02
1972,1970,緯度帶,南極區64-90S,南,-77,0.48
1973,1970,全球,全球,全球,999,0.16
1973,1970,半球,北半球,北,999,0.09
1973,1970,半球,南半球,南,999,0.23
1973,1970,寬帶,北緯24-90,北,999,0.10
1973,1970,寬帶,南北緯24以內,赤道,999,0.19
1973,1970,寬帶,南緯24-90,南,999,0.18
1973,1970,緯度帶,北極區64-90N,北,77,0.06
1973,1970,緯度帶,北高緯44-64N,北,54,0.27
1973,1970,緯度帶,北中緯24-44N,北,34,0.01
1973,1970,緯度帶,赤道-24N,北,12,0.07
1973,1970,緯度帶,24S-赤道,南,-12,0.30
1973,1970,緯度帶,南中緯24-44S,南,-34,0.22
1973,1970,緯度帶,南高緯44-64S,南,-54,0.07
1973,1970,緯度帶,南極區64-90S,南,-77,0.35
1974,1970,全球,全球,全球,999,-0.07
1974,1970,半球,北半球,北,999,-0.18
1974,1970,半球,南半球,南,999,0.03
1974,1970,寬帶,北緯24-90,北,999,-0.14
1974,1970,寬帶,南北緯24以內,赤道,999,-0.20
1974,1970,寬帶,南緯24-90,南,999,0.18
1974,1970,緯度帶,北極區64-90N,北,77,-0.19
1974,1970,緯度帶,北高緯44-64N,北,54,-0.07
1974,1970,緯度帶,北中緯24-44N,北,34,-0.18
1974,1970,緯度帶,赤道-24N,北,12,-0.23
1974,1970,緯度帶,24S-赤道,南,-12,-0.17
1974,1970,緯度帶,南中緯24-44S,南,-34,0.21
1974,1970,緯度帶,南高緯44-64S,南,-54,-0.08
1974,1970,緯度帶,南極區64-90S,南,-77,0.65
1975,1970,全球,全球,全球,999,-0.01
1975,1970,半球,北半球,北,999,-0.06
1975,1970,半球,南半球,南,999,0.02
1975,1970,寬帶,北緯24-90,北,999,0.12
1975,1970,寬帶,南北緯24以內,赤道,999,-0.24
1975,1970,寬帶,南緯24-90,南,999,0.16
1975,1970,緯度帶,北極區64-90N,北,77,0.10
1975,1970,緯度帶,北高緯44-64N,北,54,0.39
1975,1970,緯度帶,北中緯24-44N,北,34,-0.05
1975,1970,緯度帶,赤道-24N,北,12,-0.31
1975,1970,緯度帶,24S-赤道,南,-12,-0.17
1975,1970,緯度帶,南中緯24-44S,南,-34,0.13
1975,1970,緯度帶,南高緯44-64S,南,-54,0.14
1975,1970,緯度帶,南極區64-90S,南,-77,0.31
1976,1970,全球,全球,全球,999,-0.10
1976,1970,半球,北半球,北,999,-0.21
1976,1970,半球,南半球,南,999,0.01
1976,1970,寬帶,北緯24-90,北,999,-0.26
1976,1970,寬帶,南北緯24以內,赤道,999,-0.12
1976,1970,寬帶,南緯24-90,南,999,0.09
1976,1970,緯度帶,北極區64-90N,北,77,-0.08
1976,1970,緯度帶,北高緯44-64N,北,54,-0.32
1976,1970,緯度帶,北中緯24-44N,北,34,-0.28
1976,1970,緯度帶,赤道-24N,北,12,-0.13
1976,1970,緯度帶,24S-赤道,南,-12,-0.10
1976,1970,緯度帶,南中緯24-44S,南,-34,0.10
1976,1970,緯度帶,南高緯44-64S,南,-54,0.22
1976,1970,緯度帶,南極區64-90S,南,-77,-0.22
1977,1970,全球,全球,全球,999,0.18
1977,1970,半球,北半球,北,999,0.12
1977,1970,半球,南半球,南,999,0.24
1977,1970,寬帶,北緯24-90,北,999,0.13
1977,1970,寬帶,南北緯24以內,赤道,999,0.15
1977,1970,寬帶,南緯24-90,南,999,0.25
1977,1970,緯度帶,北極區64-90N,北,77,0.16
1977,1970,緯度帶,北高緯44-64N,北,54,0.24
1977,1970,緯度帶,北中緯24-44N,北,34,0.06
1977,1970,緯度帶,赤道-24N,北,12,0.09
1977,1970,緯度帶,24S-赤道,南,-12,0.21
1977,1970,緯度帶,南中緯24-44S,南,-34,0.21
1977,1970,緯度帶,南高緯44-64S,南,-54,0.31
1977,1970,緯度帶,南極區64-90S,南,-77,0.28
1978,1970,全球,全球,全球,999,0.07
1978,1970,半球,北半球,北,999,0.02
1978,1970,半球,南半球,南,999,0.11
1978,1970,寬帶,北緯24-90,北,999,-0.03
1978,1970,寬帶,南北緯24以內,赤道,999,0.07
1978,1970,寬帶,南緯24-90,南,999,0.16
1978,1970,緯度帶,北極區64-90N,北,77,-0.16
1978,1970,緯度帶,北高緯44-64N,北,54,0.04
1978,1970,緯度帶,北中緯24-44N,北,34,-0.04
1978,1970,緯度帶,赤道-24N,北,12,0.10
1978,1970,緯度帶,24S-赤道,南,-12,0.05
1978,1970,緯度帶,南中緯24-44S,南,-34,0.21
1978,1970,緯度帶,南高緯44-64S,南,-54,0.13
1978,1970,緯度帶,南極區64-90S,南,-77,0.03
1979,1970,全球,全球,全球,999,0.16
1979,1970,半球,北半球,北,999,0.08
1979,1970,半球,南半球,南,999,0.25
1979,1970,寬帶,北緯24-90,北,999,-0.03
1979,1970,寬帶,南北緯24以內,赤道,999,0.26
1979,1970,寬帶,南緯24-90,南,999,0.23
1979,1970,緯度帶,北極區64-90N,北,77,-0.61
1979,1970,緯度帶,北高緯44-64N,北,54,0.07
1979,1970,緯度帶,北中緯24-44N,北,34,0.08
1979,1970,緯度帶,赤道-24N,北,12,0.25
1979,1970,緯度帶,24S-赤道,南,-12,0.27
1979,1970,緯度帶,南中緯24-44S,南,-34,0.29
1979,1970,緯度帶,南高緯44-64S,南,-54,0.33
1979,1970,緯度帶,南極區64-90S,南,-77,-0.21
1980,1980,全球,全球,全球,999,0.25
1980,1980,半球,北半球,北,999,0.17
1980,1980,半球,南半球,南,999,0.34
1980,1980,寬帶,北緯24-90,北,999,0.06
1980,1980,寬帶,南北緯24以內,赤道,999,0.30
1980,1980,寬帶,南緯24-90,南,999,0.39
1980,1980,緯度帶,北極區64-90N,北,77,0.26
1980,1980,緯度帶,北高緯44-64N,北,54,0.02
1980,1980,緯度帶,北中緯24-44N,北,34,0.02
1980,1980,緯度帶,赤道-24N,北,12,0.32
1980,1980,緯度帶,24S-赤道,南,-12,0.28
1980,1980,緯度帶,南中緯24-44S,南,-34,0.35
1980,1980,緯度帶,南高緯44-64S,南,-54,0.37
1980,1980,緯度帶,南極區64-90S,南,-77,0.56
1981,1980,全球,全球,全球,999,0.32
1981,1980,半球,北半球,北,999,0.37
1981,1980,半球,南半球,南,999,0.27
1981,1980,寬帶,北緯24-90,北,999,0.48
1981,1980,寬帶,南北緯24以內,赤道,999,0.18
1981,1980,寬帶,南緯24-90,南,999,0.36
1981,1980,緯度帶,北極區64-90N,北,77,1.09
1981,1980,緯度帶,北高緯44-64N,北,54,0.79
1981,1980,緯度帶,北中緯24-44N,北,34,0.08
1981,1980,緯度帶,赤道-24N,北,12,0.21
1981,1980,緯度帶,24S-赤道,南,-12,0.14
1981,1980,緯度帶,南中緯24-44S,南,-34,0.28
1981,1980,緯度帶,南高緯44-64S,南,-54,0.38
1981,1980,緯度帶,南極區64-90S,南,-77,0.62
1982,1980,全球,全球,全球,999,0.14
1982,1980,半球,北半球,北,999,0.05
1982,1980,半球,南半球,南,999,0.23
1982,1980,寬帶,北緯24-90,北,999,-0.08
1982,1980,寬帶,南北緯24以內,赤道,999,0.27
1982,1980,寬帶,南緯24-90,南,999,0.18
1982,1980,緯度帶,北極區64-90N,北,77,-0.40
1982,1980,緯度帶,北高緯44-64N,北,54,0.10
1982,1980,緯度帶,北中緯24-44N,北,34,-0.09
1982,1980,緯度帶,赤道-24N,北,12,0.24
1982,1980,緯度帶,24S-赤道,南,-12,0.29
1982,1980,緯度帶,南中緯24-44S,南,-34,0.18
1982,1980,緯度帶,南高緯44-64S,南,-54,0.32
1982,1980,緯度帶,南極區64-90S,南,-77,-0.11
1983,1980,全球,全球,全球,999,0.31
1983,1980,半球,北半球,北,999,0.24
1983,1980,半球,南半球,南,999,0.38
1983,1980,寬帶,北緯24-90,北,999,0.22
1983,1980,寬帶,南北緯24以內,赤道,999,0.43
1983,1980,寬帶,南緯24-90,南,999,0.25
1983,1980,緯度帶,北極區64-90N,北,77,0.18
1983,1980,緯度帶,北高緯44-64N,北,54,0.69
1983,1980,緯度帶,北中緯24-44N,北,34,-0.07
1983,1980,緯度帶,赤道-24N,北,12,0.28
1983,1980,緯度帶,24S-赤道,南,-12,0.57
1983,1980,緯度帶,南中緯24-44S,南,-34,0.21
1983,1980,緯度帶,南高緯44-64S,南,-54,0.41
1983,1980,緯度帶,南極區64-90S,南,-77,0.10
1984,1980,全球,全球,全球,999,0.15
1984,1980,半球,北半球,北,999,0.03
1984,1980,半球,南半球,南,999,0.27
1984,1980,寬帶,北緯24-90,北,999,0.01
1984,1980,寬帶,南北緯24以內,赤道,999,0.18
1984,1980,寬帶,南緯24-90,南,999,0.26
1984,1980,緯度帶,北極區64-90N,北,77,0.36
1984,1980,緯度帶,北高緯44-64N,北,54,0.08
1984,1980,緯度帶,北中緯24-44N,北,34,-0.14
1984,1980,緯度帶,赤道-24N,北,12,0.07
1984,1980,緯度帶,24S-赤道,南,-12,0.29
1984,1980,緯度帶,南中緯24-44S,南,-34,0.16
1984,1980,緯度帶,南高緯44-64S,南,-54,0.32
1984,1980,緯度帶,南極區64-90S,南,-77,0.54
1985,1980,全球,全球,全球,999,0.12
1985,1980,半球,北半球,北,999,0.00
1985,1980,半球,南半球,南,999,0.24
1985,1980,寬帶,北緯24-90,北,999,-0.03
1985,1980,寬帶,南北緯24以內,赤道,999,0.09
1985,1980,寬帶,南緯24-90,南,999,0.31
1985,1980,緯度帶,北極區64-90N,北,77,0.39
1985,1980,緯度帶,北高緯44-64N,北,54,-0.26
1985,1980,緯度帶,北中緯24-44N,北,34,-0.02
1985,1980,緯度帶,赤道-24N,北,12,0.04
1985,1980,緯度帶,24S-赤道,南,-12,0.13
1985,1980,緯度帶,南中緯24-44S,南,-34,0.30
1985,1980,緯度帶,南高緯44-64S,南,-54,0.44
1985,1980,緯度帶,南極區64-90S,南,-77,0.07
1986,1980,全球,全球,全球,999,0.18
1986,1980,半球,北半球,北,999,0.13
1986,1980,半球,南半球,南,999,0.23
1986,1980,寬帶,北緯24-90,北,999,0.10
1986,1980,寬帶,南北緯24以內,赤道,999,0.22
1986,1980,寬帶,南緯24-90,南,999,0.20
1986,1980,緯度帶,北極區64-90N,北,77,0.01
1986,1980,緯度帶,北高緯44-64N,北,54,0.28
1986,1980,緯度帶,北中緯24-44N,北,34,0.03
1986,1980,緯度帶,赤道-24N,北,12,0.17
1986,1980,緯度帶,24S-赤道,南,-12,0.27
1986,1980,緯度帶,南中緯24-44S,南,-34,0.25
1986,1980,緯度帶,南高緯44-64S,南,-54,0.25
1986,1980,緯度帶,南極區64-90S,南,-77,-0.09
1987,1980,全球,全球,全球,999,0.32
1987,1980,半球,北半球,北,999,0.24
1987,1980,半球,南半球,南,999,0.40
1987,1980,寬帶,北緯24-90,北,999,0.04
1987,1980,寬帶,南北緯24以內,赤道,999,0.58
1987,1980,寬帶,南緯24-90,南,999,0.25
1987,1980,緯度帶,北極區64-90N,北,77,-0.36
1987,1980,緯度帶,北高緯44-64N,北,54,0.13
1987,1980,緯度帶,北中緯24-44N,北,34,0.12
1987,1980,緯度帶,赤道-24N,北,12,0.55
1987,1980,緯度帶,24S-赤道,南,-12,0.62
1987,1980,緯度帶,南中緯24-44S,南,-34,0.32
1987,1980,緯度帶,南高緯44-64S,南,-54,0.25
1987,1980,緯度帶,南極區64-90S,南,-77,0.01
1988,1980,全球,全球,全球,999,0.39
1988,1980,半球,北半球,北,999,0.37
1988,1980,半球,南半球,南,999,0.41
1988,1980,寬帶,北緯24-90,北,999,0.40
1988,1980,寬帶,南北緯24以內,赤道,999,0.37
1988,1980,寬帶,南緯24-90,南,999,0.40
1988,1980,緯度帶,北極區64-90N,北,77,0.59
1988,1980,緯度帶,北高緯44-64N,北,54,0.57
1988,1980,緯度帶,北中緯24-44N,北,34,0.23
1988,1980,緯度帶,赤道-24N,北,12,0.32
1988,1980,緯度帶,24S-赤道,南,-12,0.42
1988,1980,緯度帶,南中緯24-44S,南,-34,0.38
1988,1980,緯度帶,南高緯44-64S,南,-54,0.20
1988,1980,緯度帶,南極區64-90S,南,-77,0.94
1989,1980,全球,全球,全球,999,0.27
1989,1980,半球,北半球,北,999,0.27
1989,1980,半球,南半球,南,999,0.27
1989,1980,寬帶,北緯24-90,北,999,0.40
1989,1980,寬帶,南北緯24以內,赤道,999,0.12
1989,1980,寬帶,南緯24-90,南,999,0.34
1989,1980,緯度帶,北極區64-90N,北,77,0.33
1989,1980,緯度帶,北高緯44-64N,北,54,0.69
1989,1980,緯度帶,北中緯24-44N,北,34,0.25
1989,1980,緯度帶,赤道-24N,北,12,0.06
1989,1980,緯度帶,24S-赤道,南,-12,0.18
1989,1980,緯度帶,南中緯24-44S,南,-34,0.36
1989,1980,緯度帶,南高緯44-64S,南,-54,0.30
1989,1980,緯度帶,南極區64-90S,南,-77,0.37
1990,1990,全球,全球,全球,999,0.45
1990,1990,半球,北半球,北,999,0.52
1990,1990,半球,南半球,南,999,0.37
1990,1990,寬帶,北緯24-90,北,999,0.63
1990,1990,寬帶,南北緯24以內,赤道,999,0.37
1990,1990,寬帶,南緯24-90,南,999,0.37
1990,1990,緯度帶,北極區64-90N,北,77,0.58
1990,1990,緯度帶,北高緯44-64N,北,54,0.88
1990,1990,緯度帶,北中緯24-44N,北,34,0.48
1990,1990,緯度帶,赤道-24N,北,12,0.37
1990,1990,緯度帶,24S-赤道,南,-12,0.36
1990,1990,緯度帶,南中緯24-44S,南,-34,0.38
1990,1990,緯度帶,南高緯44-64S,南,-54,0.37
1990,1990,緯度帶,南極區64-90S,南,-77,0.37
1991,1990,全球,全球,全球,999,0.41
1991,1990,半球,北半球,北,999,0.41
1991,1990,半球,南半球,南,999,0.40
1991,1990,寬帶,北緯24-90,北,999,0.47
1991,1990,寬帶,南北緯24以內,赤道,999,0.36
1991,1990,寬帶,南緯24-90,南,999,0.40
1991,1990,緯度帶,北極區64-90N,北,77,0.75
1991,1990,緯度帶,北高緯44-64N,北,54,0.66
1991,1990,緯度帶,北中緯24-44N,北,34,0.26
1991,1990,緯度帶,赤道-24N,北,12,0.32
1991,1990,緯度帶,24S-赤道,南,-12,0.40
1991,1990,緯度帶,南中緯24-44S,南,-34,0.31
1991,1990,緯度帶,南高緯44-64S,南,-54,0.29
1991,1990,緯度帶,南極區64-90S,南,-77,0.98
1992,1990,全球,全球,全球,999,0.22
1992,1990,半球,北半球,北,999,0.13
1992,1990,半球,南半球,南,999,0.31
1992,1990,寬帶,北緯24-90,北,999,0.09
1992,1990,寬帶,南北緯24以內,赤道,999,0.28
1992,1990,寬帶,南緯24-90,南,999,0.27
1992,1990,緯度帶,北極區64-90N,北,77,-0.17
1992,1990,緯度帶,北高緯44-64N,北,54,0.44
1992,1990,緯度帶,北中緯24-44N,北,34,-0.03
1992,1990,緯度帶,赤道-24N,北,12,0.20
1992,1990,緯度帶,24S-赤道,南,-12,0.37
1992,1990,緯度帶,南中緯24-44S,南,-34,0.20
1992,1990,緯度帶,南高緯44-64S,南,-54,0.33
1992,1990,緯度帶,南極區64-90S,南,-77,0.42
1993,1990,全球,全球,全球,999,0.23
1993,1990,半球,北半球,北,999,0.19
1993,1990,半球,南半球,南,999,0.28
1993,1990,寬帶,北緯24-90,北,999,0.13
1993,1990,寬帶,南北緯24以內,赤道,999,0.32
1993,1990,寬帶,南緯24-90,南,999,0.22
1993,1990,緯度帶,北極區64-90N,北,77,0.54
1993,1990,緯度帶,北高緯44-64N,北,54,0.30
1993,1990,緯度帶,北中緯24-44N,北,34,-0.11
1993,1990,緯度帶,赤道-24N,北,12,0.28
1993,1990,緯度帶,24S-赤道,南,-12,0.35
1993,1990,緯度帶,南中緯24-44S,南,-34,0.27
1993,1990,緯度帶,南高緯44-64S,南,-54,0.39
1993,1990,緯度帶,南極區64-90S,南,-77,-0.28
1994,1990,全球,全球,全球,999,0.31
1994,1990,半球,北半球,北,999,0.37
1994,1990,半球,南半球,南,999,0.26
1994,1990,寬帶,北緯24-90,北,999,0.43
1994,1990,寬帶,南北緯24以內,赤道,999,0.31
1994,1990,寬帶,南緯24-90,南,999,0.21
1994,1990,緯度帶,北極區64-90N,北,77,0.34
1994,1990,緯度帶,北高緯44-64N,北,54,0.50
1994,1990,緯度帶,北中緯24-44N,北,34,0.41
1994,1990,緯度帶,赤道-24N,北,12,0.28
1994,1990,緯度帶,24S-赤道,南,-12,0.34
1994,1990,緯度帶,南中緯24-44S,南,-34,0.27
1994,1990,緯度帶,南高緯44-64S,南,-54,0.23
1994,1990,緯度帶,南極區64-90S,南,-77,-0.02
1995,1990,全球,全球,全球,999,0.44
1995,1990,半球,北半球,北,999,0.58
1995,1990,半球,南半球,南,999,0.32
1995,1990,寬帶,北緯24-90,北,999,0.70
1995,1990,寬帶,南北緯24以內,赤道,999,0.42
1995,1990,寬帶,南緯24-90,南,999,0.22
1995,1990,緯度帶,北極區64-90N,北,77,1.31
1995,1990,緯度帶,北高緯44-64N,北,54,0.99
1995,1990,緯度帶,北中緯24-44N,北,34,0.32
1995,1990,緯度帶,赤道-24N,北,12,0.40
1995,1990,緯度帶,24S-赤道,南,-12,0.44
1995,1990,緯度帶,南中緯24-44S,南,-34,0.29
1995,1990,緯度帶,南高緯44-64S,南,-54,0.15
1995,1990,緯度帶,南極區64-90S,南,-77,0.16
1996,1990,全球,全球,全球,999,0.33
1996,1990,半球,北半球,北,999,0.26
1996,1990,半球,南半球,南,999,0.40
1996,1990,寬帶,北緯24-90,北,999,0.23
1996,1990,寬帶,南北緯24以內,赤道,999,0.31
1996,1990,寬帶,南緯24-90,南,999,0.46
1996,1990,緯度帶,北極區64-90N,北,77,0.76
1996,1990,緯度帶,北高緯44-64N,北,54,0.17
1996,1990,緯度帶,北中緯24-44N,北,34,0.10
1996,1990,緯度帶,赤道-24N,北,12,0.30
1996,1990,緯度帶,24S-赤道,南,-12,0.32
1996,1990,緯度帶,南中緯24-44S,南,-34,0.33
1996,1990,緯度帶,南高緯44-64S,南,-54,0.28
1996,1990,緯度帶,南極區64-90S,南,-77,1.31
1997,1990,全球,全球,全球,999,0.46
1997,1990,半球,北半球,北,999,0.52
1997,1990,半球,南半球,南,999,0.42
1997,1990,寬帶,北緯24-90,北,999,0.53
1997,1990,寬帶,南北緯24以內,赤道,999,0.51
1997,1990,寬帶,南緯24-90,南,999,0.34
1997,1990,緯度帶,北極區64-90N,北,77,0.76
1997,1990,緯度帶,北高緯44-64N,北,54,0.90
1997,1990,緯度帶,北中緯24-44N,北,34,0.22
1997,1990,緯度帶,赤道-24N,北,12,0.50
1997,1990,緯度帶,24S-赤道,南,-12,0.52
1997,1990,緯度帶,南中緯24-44S,南,-34,0.42
1997,1990,緯度帶,南高緯44-64S,南,-54,0.36
1997,1990,緯度帶,南極區64-90S,南,-77,0.03
1998,1990,全球,全球,全球,999,0.61
1998,1990,半球,北半球,北,999,0.70
1998,1990,半球,南半球,南,999,0.51
1998,1990,寬帶,北緯24-90,北,999,0.78
1998,1990,寬帶,南北緯24以內,赤道,999,0.69
1998,1990,寬帶,南緯24-90,南,999,0.32
1998,1990,緯度帶,北極區64-90N,北,77,0.86
1998,1990,緯度帶,北高緯44-64N,北,54,0.94
1998,1990,緯度帶,北中緯24-44N,北,34,0.65
1998,1990,緯度帶,赤道-24N,北,12,0.59
1998,1990,緯度帶,24S-赤道,南,-12,0.79
1998,1990,緯度帶,南中緯24-44S,南,-34,0.39
1998,1990,緯度帶,南高緯44-64S,南,-54,0.31
1998,1990,緯度帶,南極區64-90S,南,-77,0.14
1999,1990,全球,全球,全球,999,0.38
1999,1990,半球,北半球,北,999,0.48
1999,1990,半球,南半球,南,999,0.28
1999,1990,寬帶,北緯24-90,北,999,0.70
1999,1990,寬帶,南北緯24以內,赤道,999,0.20
1999,1990,寬帶,南緯24-90,南,999,0.30
1999,1990,緯度帶,北極區64-90N,北,77,0.40
1999,1990,緯度帶,北高緯44-64N,北,54,0.80
1999,1990,緯度帶,北中緯24-44N,北,34,0.74
1999,1990,緯度帶,赤道-24N,北,12,0.15
1999,1990,緯度帶,24S-赤道,南,-12,0.25
1999,1990,緯度帶,南中緯24-44S,南,-34,0.46
1999,1990,緯度帶,南高緯44-64S,南,-54,0.19
1999,1990,緯度帶,南極區64-90S,南,-77,0.02
2000,2000,全球,全球,全球,999,0.39
2000,2000,半球,北半球,北,999,0.50
2000,2000,半球,南半球,南,999,0.28
2000,2000,寬帶,北緯24-90,北,999,0.70
2000,2000,寬帶,南北緯24以內,赤道,999,0.24
2000,2000,寬帶,南緯24-90,南,999,0.29
2000,2000,緯度帶,北極區64-90N,北,77,0.97
2000,2000,緯度帶,北高緯44-64N,北,54,0.80
2000,2000,緯度帶,北中緯24-44N,北,34,0.55
2000,2000,緯度帶,赤道-24N,北,12,0.20
2000,2000,緯度帶,24S-赤道,南,-12,0.28
2000,2000,緯度帶,南中緯24-44S,南,-34,0.42
2000,2000,緯度帶,南高緯44-64S,南,-54,0.10
2000,2000,緯度帶,南極區64-90S,南,-77,0.28
2001,2000,全球,全球,全球,999,0.53
2001,2000,半球,北半球,北,999,0.64
2001,2000,半球,南半球,南,999,0.43
2001,2000,寬帶,北緯24-90,北,999,0.80
2001,2000,寬帶,南北緯24以內,赤道,999,0.42
2001,2000,寬帶,南緯24-90,南,999,0.42
2001,2000,緯度帶,北極區64-90N,北,77,1.06
2001,2000,緯度帶,北高緯44-64N,北,54,0.86
2001,2000,緯度帶,北中緯24-44N,北,34,0.68
2001,2000,緯度帶,赤道-24N,北,12,0.39
2001,2000,緯度帶,24S-赤道,南,-12,0.44
2001,2000,緯度帶,南中緯24-44S,南,-34,0.58
2001,2000,緯度帶,南高緯44-64S,南,-54,0.24
2001,2000,緯度帶,南極區64-90S,南,-77,0.24
2002,2000,全球,全球,全球,999,0.63
2002,2000,半球,北半球,北,999,0.71
2002,2000,半球,南半球,南,999,0.55
2002,2000,寬帶,北緯24-90,北,999,0.82
2002,2000,寬帶,南北緯24以內,赤道,999,0.59
2002,2000,寬帶,南緯24-90,南,999,0.48
2002,2000,緯度帶,北極區64-90N,北,77,1.25
2002,2000,緯度帶,北高緯44-64N,北,54,1.00
2002,2000,緯度帶,北中緯24-44N,北,34,0.58
2002,2000,緯度帶,赤道-24N,北,12,0.54
2002,2000,緯度帶,24S-赤道,南,-12,0.64
2002,2000,緯度帶,南中緯24-44S,南,-34,0.50
2002,2000,緯度帶,南高緯44-64S,南,-54,0.31
2002,2000,緯度帶,南極區64-90S,南,-77,0.79
2003,2000,全球,全球,全球,999,0.61
2003,2000,半球,北半球,北,999,0.74
2003,2000,半球,南半球,南,999,0.49
2003,2000,寬帶,北緯24-90,北,999,0.84
2003,2000,寬帶,南北緯24以內,赤道,999,0.64
2003,2000,寬帶,南緯24-90,南,999,0.36
2003,2000,緯度帶,北極區64-90N,北,77,1.50
2003,2000,緯度帶,北高緯44-64N,北,54,0.98
2003,2000,緯度帶,北中緯24-44N,北,34,0.53
2003,2000,緯度帶,赤道-24N,北,12,0.61
2003,2000,緯度帶,24S-赤道,南,-12,0.67
2003,2000,緯度帶,南中緯24-44S,南,-34,0.44
2003,2000,緯度帶,南高緯44-64S,南,-54,0.24
2003,2000,緯度帶,南極區64-90S,南,-77,0.36
2004,2000,全球,全球,全球,999,0.53
2004,2000,半球,北半球,北,999,0.66
2004,2000,半球,南半球,南,999,0.41
2004,2000,寬帶,北緯24-90,北,999,0.72
